,sent_text,sentiment,sentiment_pred_vader
1356,The dining facilities are frankly not able to cope with the sheer number of guests.,-1.0,1.0
1359,"Yet further, I am fed up with the lifts: every time I want to go up to my room, I have to compete with an army of tourists wanting to travel to the top.",-1.0,1.0
1363,"The Management should approve a strict code of behavior for clients, otherwise it is an amusement park , not a luxury Hotel.",0.0,1.0
1368,"Floor was silent, not any noises from the corridor or other rooms.",1.0,0.0
1381,"For a luxury hotel, I was surprised that the beds were so hard.",0.0,1.0
1382,"Also, the gym is very tiny for such a large hotel, so expect to wait for machines.",-1.0,0.0
1391,"Overall, there is nothing much that can beat a stay in this hotel.",1.0,0.0
1393,However this is a very large hotel with a huge number of guests and although the service is good do not expect five star service and if you want a decent room on a high floor it is worth paying for a club room.,0.0,1.0
1401,The spacious guest room commanded panoramic view of the sea.,1.0,0.0
1408,"For sashimi lovers, the large chunks of tuna and octopus will make the price seem less daunting.",0.0,1.0
1409,There are also stations dedicated to Indian and local Singaporean dishes.,0.0,1.0
1410,"Unlike other hotels, the dessert spread is substantial, with a chocolate fountain and a make-your-own soda counter.",0.0,1.0
1413,"But for a photophobic local like me, I asked for a shaded",0.0,1.0
1414,Ours was a 3 star hotel experience and make no mistake this is a MASSIVE hotel with more rooms than the Vatican.,0.0,-1.0
1418,Despite this overwhelming ratio of staff-guest it took a good 13 minutes for our clerk to check us in.,0.0,1.0
1420,"Now if checkout is 11 pm, and we have arrived at 6 pm , having made a booking a month prior, surely someone somewhere would've already allocated a room.",0.0,1.0
1423,"First of all, the lobby was really rowdy and likened “market place”.",-1.0,1.0
1424,The room was more spacious than many 5-star hotels.,1.0,0.0
1425,However the basic amenities like toiletries were “cheap” looking.,-1.0,1.0
1426,The way drinks in the fridge are secured gave occupants a feeling that they couldn’t be trusted.,-1.0,1.0
1427,The bed was really comfortable but the pillows were too soft.,-1.0,1.0
1428,Gym facility was well equipped and clean; the infinity pool was always busy and unpleasantly crowded.,-1.0,1.0
1429,Food in and around the hotel are definitely pricey; can’t say the quality or variety (esp those restaurants at Level 1) were great.,-1.0,1.0
1447,"The scale of the hotel is enormous, with a huge lobby (both in square footage and atrium volume).",0.0,1.0
1457,"However, our room was ok and fell a bit short for a 5 star hotel.",-1.0,1.0
1459,When we addressed to the staff even with a recording of it they dismissed as a nonissue.,-1.0,0.0
1463,As well as the Lavo restaurant is way too expensive for the quality of food,0.0,1.0
1465,"This is a spectacular hotel as the photos show , an architectural wonder!",1.0,0.0
1467,Be aware this is a huge Hotel There were always lots of people wandering around the foyer.,0.0,1.0
1468,It made the check in a little slow but not too bad.,0.0,1.0
1469,This was particularly an issue with the Club access on Friday and Saturday evenings access is from 5pm best not to be late or you face a longish wait.,0.0,1.0
1483,"Wonderful hotel, but no good costumer service, the rooms needs  modernize, clean,no customized services, no welcome, no nobody interested in helping you or at least show   you where is your room, you  pay really for access to the pool...",-1.0,1.0
1484,I've been to other hotels much better.,-1.0,1.0
1486,Nice food but way too expensive for the price you pay to have local food.,0.0,1.0
1488,Nothing is really cheap here except if you go Zara or the shops selling sporting goods like Adidas and World of Sports.,0.0,1.0
1489,Mostly meant to target the well to do locals and people who feel they are part of a upper social type.,0.0,1.0
1490,Be prepared to pay anything from $12 to $18 for a plate of Nasi Padang,0.0,1.0
1503,I would suggest this location for at least one night for the experience alone.,1.0,-1.0
1506,Room was very large and spectacular views across the lake and city.,1.0,0.0
1509,Worth a one night stay but price prohibits justifying staying here longer.,0.0,1.0
1515,We had rooms on the 39th floor with a harbour view which was just magnificant.,1.0,0.0
1519,The whole experience was well worth the expense.,0.0,1.0
1523,Be sure to check for current promotions.,0.0,1.0
1524,Our boarding passes from Singapore Airlines saved us a bunch!,0.0,1.0
1530,Missing to have your 5 star service!!,0.0,-1.0
1531,The room was spacious,1.0,0.0
1533,Stayed for 2 nights in the hotel and while it's an architectural marvel the level of service is more along the line of midscale hotels.,0.0,1.0
1535,Be prepared to que and be prepared to serve yourself.,0.0,1.0
1542,"This was a work trip so it didn’t matter, but I’d recommend upgrading if you are staying on holiday.",0.0,1.0
1547,The Lobby of the hotel had two different places to check in and out since it has two doors.,0.0,1.0
1552,"The room we got was upgraded to a presidential suite offering 180 degrees view of the city, water front and garden.  ",1.0,0.0
1554,The light show was witnessed from the comfort of our own suite.,0.0,1.0
1560,Very luxurious experience,1.0,0.0
1565,For sure we were not deceived with the view but the pool water was very cold to swim in.,-1.0,1.0
1576,I can not recommend this hotel and Club 55 highly enough.,1.0,-1.0
1580,"From the movement you arrive, the service is second to none, the hotel is thriving with activity and offers options to suit all tastes.",1.0,0.0
1584,"The facilities at the hotel are world class, we took a trip to the casino which was seemless to enter and was a hive of activity inside.  ",1.0,0.0
1602,"No idea what we did as a family to deserve this, but we may never experience this level of luxury again.  ",1.0,-1.0
1615,I wasn’t disappointed.,0.0,-1.0
1619,We splurged on a suite and it exceeded my expectations.,1.0,0.0
1624,"The suite was enormous, with an equally large bathroom.",1.0,0.0
1636,The balcony view it was my favourite area in the hotel.,1.0,0.0
1643,Negative - 1),0.0,-1.0
1644,"Shower facilities in room are bit basic considering how pricey the rooms are, 2) can be crowded at times especially during the peak holiday season which may dampen the roof top infinity pool experience.",-1.0,1.0
1645,Best time to access are 6-8am or after 8pm,0.0,1.0
1649,"Of course, everyone is blown away by the pool - especially right after a 17hour flight from San Francisco!",1.0,0.0
1650,"However, the excitement starts to fizzle pretty quickly from there.",0.0,1.0
1653,"  I would recommend that people go for the experience, leave after the first few days.",0.0,1.0
1654,Would not recommend a lengthy stay.,0.0,-1.0
1659,You can get discounts there and who knows you’ll be lucky enough to get the cheapest room yet.,0.0,1.0
1663,By bus: also good,0.0,1.0
1664,But its better to get there through MRT(from my own experience),0.0,1.0
1669,Room is 👌🏻 Amaaazing,1.0,0.0
1673,The infinity pool is something that has got to be done the views are amazing!!!!,1.0,0.0
1683,"You are merely given discounts in their ridiculously priced restaurants and casino dollars, all 30 of them!",0.0,-1.0
1684,3 nights was way too long and for that money you can stay at better hotels.,0.0,1.0
1710,Food court was amazing!.,1.0,0.0
1711,Check-in staff very professional and accommodating.,1.0,0.0
1716,"Almost forgot, the view while you're on the pool on 57th floor is nothing short of spectacular, especially at night.",1.0,0.0
1735,Definitely worth the extra cost to stay at such an iconic location.,0.0,1.0
1736,The only negative I could see is that,0.0,-1.0
1740,the hotel for sure is expensive but its definately worth it.,0.0,1.0
1742,What can be better: - I missed the old bathroom amenities.,0.0,1.0
1754,The Concierge Desk is not able to get reservations at in-hotel restaurants for hotel guests.,-1.0,0.0
1755,Waiting for Taxis is too long.,-1.0,0.0
1756,The crowd at the Lobby is too large for a Luxury Hotel.,-1.0,1.0
1757,I stayed at this hotel for 1 night with my boyfriend on our stop over to Australia from the UK.,0.0,-1.0
1759,Yes the hotel is not the cheapest to stay at,0.0,1.0
1760,but I promise its worth every penny spent and is good value for money.,0.0,1.0
1761,You really do get what you pay for with this hotel <3,0.0,1.0
1764,Each tower has its own check in desk and you don't want to queue in the wrong one,0.0,-1.0
1768,"It’s clearly the most iconic hotel in Singapore but after staying there for two nights in a Club Room, it’s way overrated and overpriced - and thus the rating here at 2 stars.",0.0,1.0
1769,It was a nice room - but nice in terms of a mid range hotel brand nice.,0.0,1.0
1770,It’s also just a massive complex that there is no sense of personalisation and you are truly just a number at this hotel.,-1.0,1.0
1771,"There is also very little public areas to congregate, sit or wait in the lobby.",-1.0,1.0
1773,The pool was nice but again was underwhelming and rather crowded.,-1.0,1.0
1774,I’d recommend a stay some place else and swing by for a drink on the rooftop at one of their bars.,0.0,1.0
1778,"At breakfast, too, we had to wait in the queue for 20-30 minutes when the omelet was fried,",-1.0,0.0
1779,The reason I gave this title was because these big flash iconic hotels leave me cold.,0.0,-1.0
1785,"We didn't eat at the hotel because value for money it is not, it's more of an experience",0.0,1.0
1789,Massive hotel so you can't expect quiet.,-1.0,0.0
1791,but I easily prefered Ritz Carlton opposite.,0.0,1.0
1797,"Yes it is expensive, but it is worth the money for a one time experience :-)",0.0,1.0
1801,"One of the most iconic hotels in the world, boasting of the worlds largest infinity pool.",1.0,0.0
1802,The hotel consists of innumerable restaurants but however are pretty full so a reservation might be required.,0.0,1.0
1806,We visited the Sky Park/infinity pool and it was incredible.,1.0,0.0
1807,We went for a swim and enjoyed cocktails poolside.,0.0,1.0
1818,"this is now a place only for the rich and the staff made it clear ,very rude and not a pleasant experience .For",-1.0,1.0
1819,a lovely hotel lots of people walking around in dressing gowns (very strange) .last time for us ...,0.0,1.0
1820,Feedback following a recent two night stay in a twin room in a low room on Tower 1.,0.0,-1.0
1822,"However due to the large size of the hotel (which feels more like a conference center) and it’s design, our room was overlooking the reception counter / lobby area at the very front of the building and didn’t feel very private.",0.0,1.0
1832,We decided to visit the top of the Marina Bay Sands Hotel from the Hop on Hop off bus.,0.0,1.0
1835,Will never forget.,0.0,1.0
1836,"The hotel is conveniently located near most of the major tourist attractions, so you don't have to travel far if you are only in the city for a couple days.",0.0,1.0
1839,"It would be nice if there were some umbrella to cover some of the chairs, because being up there without any protection from the sun is a little overwhelming.",-1.0,1.0
1844,"Beyond the actual room itself, I don't think there's anything special about the hotel.",0.0,1.0
1847,Definitely very helpful.,0.0,1.0
1848,"It's convenient, plenty of public transport option -",1.0,0.0
1850,Cons (unfortunately it's a long list)  - Check-in was very slow.,-1.0,0.0
1854,Thought we’d treat ourselves as we had heard the hype about this place.,0.0,1.0
1855,This place was an absolute nightmare.,-1.0,0.0
1857,Arrived to find essentials 2 tiny double beds for 4 people.,-1.0,0.0
1858,"My husband spoke to reception about the fact that it was not suitable for 4 people, even though the website recommended it for 4 people.",0.0,1.0
1859,They eventually agreed to bring up a fold out bed.,0.0,1.0
1861,The famous pool up top was absolutely freezing!,-1.0,1.0
1862,I didn’t swim in it once!,-1.0,0.0
1863,One is the spas was closed too.,-1.0,0.0
1865,It was so gross.,0.0,-1.0
1866,There was nothing to do here for families.,-1.0,0.0
1868,"it was just your run of the mill standard, nice motel room.",0.0,1.0
1871,Honestly it is amazing.,0.0,1.0
1873,"but they told us our room was ready at 2pm which was great!), again that night quite late (it shuts at 11pm), and then in the morning around 7am (it opens at 6am but is still dark then).",0.0,1.0
1874,The best time was the early morning.,0.0,1.0
1875,Less crowded and an all round nicer experience.,0.0,1.0
1876,"Don’t get me wrong, STILL quite crowded but nothing on the afternoon and evening.",0.0,-1.0
1877,There are photographers in the pool too who will clear a shot for you which is,0.0,1.0
1883,Free Teatime 2 to 4 pm is ok.,0.0,1.0
1884,Breakfast is ok.,0.0,1.0
1886,"Worth at least 1 visit for us locals but very crowded, should do weekdays instead of weekends.",0.0,1.0
1887,Obviously doing very well.,0.0,1.0
1890,"For once in a lifetime, totally worth it.",0.0,1.0
1892,"The infinity pool gets quite busy, if you go first thing at 6am definitely less so.",0.0,1.0
1894,"Expensive and busy, but this place is worth the hype.",0.0,1.0
1895,"Well, I saw pics..thought, yeah right.",0.0,1.0
1898,and I don’t like cities or people!,0.0,1.0
1906,"Good location, big resort style hotel.",0.0,1.0
1907,Check in was extremely slow and cumbersome.,-1.0,0.0
1908,It is a very busy place and a tourist attraction in itself.,0.0,1.0
1909,This doesn’t always help the ambience.,-1.0,1.0
1918,It is difficult for these type of hotels to be truly a “luxury” experience when they are so big and busy.,-1.0,1.0
1923,You get a big balcony overlooking the gardens by the bay which lit up at night.,1.0,0.0
1926,Staying in MBS gives loads of perks access to the mall and dining.,1.0,0.0
1932,"However, the hotel rooms are small and very expensive.",-1.0,0.0
1933,People go there definitely just want to snap photos at the infinity pool.,0.0,1.0
1934,"However, its not worth it.",0.0,-1.0
1935,You can find a better priced hotels near orchard road with decent stay.,0.0,1.0
1937,The pool on the rooftop is second to none.,1.0,0.0
1939,However this is not an inexpensive hotel and given the rates one must pay and expect significantly better rooms.,0.0,1.0
1940,Wallpaper is coming off in the bathroom there are stains on the wall and I got to bed only to find my comforter full of stains.,-1.0,1.0
1950,The hotel is very large and I had recently had knee surgery so it was hard to get around.,0.0,-1.0
1967,"The lobby is immense I felt somwhow lost in it, The check in went well, but I always had the feeling waiting for ages for the elevators.",0.0,1.0
1968,My mum mentioned it is like a big train station and she was right.,0.0,1.0
1969,"The service was efficient but faceless,",0.0,1.0
1972,The pool has amazing views but it was crowded as well in the afternoon we could hardly find free sunbeds.,0.0,1.0
1973,"The waters is cold, and if you go to the jacuzzi it is way too hot and I am convinced they do it on pourpse!!",-1.0,1.0
1975,"To go up to the top we took advantage of the Ce La Vi bar, were it costs 22SGD to enter the bar.",0.0,1.0
1978,No brainer really to go to the bar and get your drink that’s included in your ticket price.,0.0,-1.0
1983,Paid $25 for a cocktail that came half full.,-1.0,0.0
1985,The whole experience was unenjoyable.,-1.0,0.0
1988,You are just another number being shipped in and out of this vast cavern.,0.0,1.0
1994,Wouldn’t return if someone paid me.,-1.0,0.0
1996,the pool us out of this world!,1.0,0.0
1999,definitely worth it.,0.0,1.0
2005,We arrived from the airport and had to join a long queue for check in.,-1.0,1.0
2006,To fair the queue went down quite quickly but not really what you expect for that money.,-1.0,1.0
2008,We were early for check in but the check in clerk advised us 'we looked tired' so we could have our room early....,0.0,-1.0
2010,Room was lovely but nothing special but great views and really good a night when everything start to get lit up.,1.0,-1.0
2012,We had a dip in it but to be honest the pool was quite cold.,-1.0,1.0
2016,"Unfortunately, it was Chinese New Year when we were there, so the 57th floor rooftop swimming pool was almost standing room only; but now been there, done that, got the photo.",0.0,-1.0
2023,We arrived at 1.30pm and was hoping that we can check-in earlier.,0.0,1.0
2026,So we had to go to the Tower 3 and it was more than an hour wait till we get to the check-in counter.,-1.0,0.0
2030,Was expecting better treatment as the payment charged is not a joke at all.,-1.0,1.0
2032,The infinity pool is jaw dropping.,1.0,0.0
2034,I am vegan and found it a little difficult in the hotel but a short walk round the corner found a Gordon Ramsay with a full vegan menu option.,1.0,-1.0
2037,"The room we had was garden view and man, what a garden.",1.0,0.0
2038,The botanical gardens are right outside and at night looked magical.,1.0,0.0
2050,"However, it was very crowded and more like a Vegas experience.",0.0,1.0
2051,"Which is not bad, just not the place to go for a relaxing quiet stay.",0.0,1.0
2053,Long lines for most things like breakfast and the roof top pool area.,0.0,1.0
2054,Overall worth a visit once I think.,0.0,1.0
2056,I will certainly will be back and this time I will make sure I will have a chance to swim in their infinity pools,0.0,1.0
2061,"Stayed in a standard  double room, which I was suprised the rooms are very big.",1.0,0.0
2064,View to marina bay was unreal!,1.0,0.0
2065,"Gym facilities are below average considering this is meant to be a five star hotel, they need more weights equipment.",-1.0,0.0
2067,Don’t bother swimming because everyone is here for a selfie.,0.0,-1.0
2071,They need better training of the front desk with customer service skills.,-1.0,1.0
2077,You want to stay there.,0.0,1.0
2083,"The Marina Bay is more like a Las Vegas type ""five-star"" property.",0.0,1.0
2086,"But on your second trip, book a more comfortable hotel at half the price elsewhere......assuming you were able to take that infinity pool pic the first time.",0.0,1.0
2088,"If it's your first time in Singapore, there is no point in staying anywhere else because if you do you will always stare up in envy at this iconic hotel and wonder what it's like to chill out in that ridiculous infinity pool on top--which you can ONLY do if you stay at this hotel.",1.0,-1.0
2091,It was more spectacular than I imagined.,1.0,0.0
2092,When we went the weather was iffy the whole time and we had more than our share of rain/thunderstorms.,-1.0,1.0
2093,I was stressing that we wouldn't be able to swim but during our whole 4 day stay they only closed it once for 30 minutes due to lightning.,0.0,-1.0
2094,"Yes, this place",0.0,1.0
2097,The inside of the lobby was massive with several eating areas.,0.0,1.0
2101,"So, I plunked down over $500 USD for a Harbor view room on the 2nd to the top floor in the hotel.",0.0,1.0
2102,Lower floor rooms on the Gardens By the Bay side are cheaper.,0.0,-1.0
2103,"Still, everyone goes for the iconic rooftop infinity pool (the highest in the world) and any stay grants you access.",0.0,1.0
2104,"And of course you must visit the pool, but be prepared to act like a shark circling it's prey in order to get a coveted lounge chair.",0.0,1.0
2105,We were outmaneuvered a couple of times but finally got our chairs!,0.0,1.0
2113,Do not miss this !,0.0,1.0
2118,The infinity pool and the service from the staff were also second to none!,1.0,0.0
2119,Don’t have a bad word to say about Marina Bay Sands and can’t wait to come back!!,1.0,-1.0
2123,There wasn't really any where to so I was glad to have had our pushchair.,0.0,1.0
2124,"The lobby is vast and full of people, far too busy you didn't know who were tourists and who were residents.",0.0,1.0
2127,The main reason we booked to stay here one night was the pool to be brutally honest.,1.0,-1.0
2136,"On the day of the birthday, she has decided no go swim very early morning which quest stressful to me because I have plan for In-Room Dining for her as big surprised.",1.0,-1.0
2144,The price of this hotel was well above what it should be.,0.0,1.0
2145,The lobby at check in is just a massive scrum of people.,0.0,1.0
2147,Check in took almost 30 mins.,-1.0,0.0
2149,I just feel the hotel needs a makeover to bring it into the 2019 era and to match the asking price.,-1.0,0.0
2150,"But, I guess for most people it’s a chance to ‘check’ themselves in on social media and keep up with the jones’.",0.0,1.0
2155,We stayed at the Marina Bay Sands for 1 night before our cruise during the Christmas holiday.,0.0,1.0
2163,It's worth it.,0.0,1.0
2172,So much to do you can get lost in the hotel!,0.0,-1.0
2174,Check in on line and save the line!,0.0,1.0
2180,"The hotel is okay, construction and architecture is not really high quality, its more for attract tourist people.",0.0,1.0
2182,"This is a 5-star hotel, but we found the property just couldn't handle crowds.",-1.0,0.0
2184,"Or, wait times in general and massive cattle herding.",-1.0,0.0
2186,"The room was fantastic, however we found little annoyances - the TV remote did not work, the window shade motor bugged out every time we activated the room power, and the mandarins they gave us has big mold spots.",-1.0,1.0
2187,"So, not perfect.  ",0.0,-1.0
2189,Shout out to Gina!,1.0,0.0
2190,We came here for one night and I must say it was a great disappointment for the amount of money we spent.,-1.0,1.0
2193,1.The lobby is like a market place - noisy and crowded.,-1.0,1.0
2194,There is nowhere to sit and relax eg while waiting for someone.,-1.0,1.0
2195,2.The check in and check out is atrocious- service is absolutely slow and understaffed.,-1.0,0.0
2196,For a hotel of this reputation and standard I do not expect to be standing in line to check in for over 20 minutes.,-1.0,0.0
2199,We have stayed in much better hotels in Singapore for a lot less than half that!,0.0,1.0
2201,Had a wonderful stopover at the Marina Bay.,0.0,1.0
2207,Singapore in general was a bit of a surprise.,0.0,1.0
2212,I’ve been to MBS several times already but only doing the review now maybe because I get used to the hotel already but our last stay this Feb was a superb staycation.,0.0,1.0
2215,"The hotel as usual is crowded at the lobby, specially the check in and out counter hope they can do something about this.",-1.0,1.0
2218,Will definitely visit MBS when I will be in SG again.,0.0,1.0
2225,"Our only disappointment was dinner at Lavo, an Italian/American themed restaurant, the service was so quick our meal was served immediately we had ordered which suggested that it was very much prepared, certainly not by a chef and it was very expensive.",-1.0,1.0
2228,"Besides that, not everything in marina bay sands is neither expensive, however there is also certain shops that sells affordable items that fullfill your own personal needs!",0.0,1.0
2229,"So don’t forget to visit MBS, Singapore!",0.0,-1.0
2244,Foodhall dussapointing though .,-1.0,0.0
2245,If you want to stay in an architectural icon roughly on par with .....,0.0,1.0
2249,Its bustling night and day and  if tranquility is what you're after this might not be the place for you.,0.0,1.0
2252,"This alone, made it worth it after a 15 or 16 hour flight. .",0.0,-1.0
2254,"We also had exclusive access to a Club room which we utilized a few times, but not every day.",0.0,1.0
2256,More like a business class hotel.,0.0,1.0
2258,"Big, dual sinks, enormous walk-in shower and",1.0,0.0
2266,Hard to want to go anywhere else!,0.0,-1.0
2267,Food prices are high as well as wine.,0.0,1.0
2274,Architecture buildings here are one of the best in Asia.,0.0,1.0
2275,High end fashion brands easily found here.,0.0,1.0
2280,We decided to stay in that hotel because of infinity pool.,1.0,0.0
2283,For sure it is not a place for holiday.,-1.0,1.0
2289,Firstly the checkin was overcrowded and took 20 to get to the front of the line.,-1.0,0.0
2292,The hotel seemed overcrowded with people.,-1.0,0.0
2297,Personnel is costumer oriented.,1.0,0.0
2304,They are just way too busy to be of help.,-1.0,1.0
2312,Room are nice but small for the $.,0.0,1.0
2313,"Yes the pool is great and the view 5 star, its the screaming kids and parents that spoil the show.",-1.0,1.0
2315,"So if we had to do over, spend a couple of hundred less on different 5 star hotel, or if your determined to spend the $650 per night, you can rent a whole sweet at say the inter continental hotel and get the service that should come with that price point.",0.0,1.0
2321,The real plus was of course the rooftop pool!,1.0,0.0
2323,The staff is very attentive and discreet.,1.0,0.0
2326,Unfortunately visited here as a multiple sight seeing tour.,0.0,-1.0
2327,It would have been lovely to spend some time up there,0.0,1.0
2329," Fabulous views, recommend you allow plenty of time and do this venue independently.",0.0,1.0
2331,"I felt like this hotel was a must do, although mega pricey!",0.0,1.0
2332,"We arrived around 10am and started to queue for check-in, it was very busy and quite slow like many of the reviews on here have said.",-1.0,1.0
2333,The staff definitely seemed aware of this though,0.0,1.0
2334,and we were taken through to the VIP check-in to speed things along.,0.0,1.0
2335,As check in isn't until 3pm we were told our room wasn't ready but we were given temporary key cards to be able to access the pool area and we told we would be emailed when our room was ready.,0.0,-1.0
2336,This was fine for us as our plan was to get out ASAP to see the city.,0.0,1.0
2337,There is a hop on hop off bus stop right outside the hotel which was ideal for us as we wanted to see as much as possible and,0.0,1.0
2342,I recommend booking in advance to have breakfast on the top floor.,0.0,1.0
2358,"Such a pity because I enjoyed the hotel rooms and all the surrounding amenities, but the treatment we received from the pool and security staff put a huge stain on our whole experience at the Marina Bay Sands.",-1.0,1.0
2359,"IMO, if a person pays extra $$ to get 2x nicer rooms for 5 star luxury (as promised), then maybe the hotel should invest in training their staff to provide 5 star customer service or at least teach them reasonable dispute resolution skills.",0.0,1.0
2360,"Upon check-in (with a family of 5 AND 2 elderly grand parents) we were advised that our 2x booked rooms could not be adjoined and that only one room was available to us, forcing a 2 hr wait for the 2nd room to open up.",0.0,1.0
2361,"That was not a problem for us as we understood how busy MBS was at the time, so we happily accepted their offer of",0.0,1.0
2368,Nice touch folks.,0.0,1.0
2369,We booked into a Garden View King on L30 and our room was marvellous.,1.0,0.0
2370,"Sleek, contemporary and spotless.",1.0,0.0
2372,If you like a city view then go right ahead.,0.0,1.0
2374,Yes but you do get your money's worth.,0.0,1.0
2375,A dip in the Infinity pool is a must,1.0,0.0
2381,"The main criticism is the menu in the pool area needs a lot of improvement, and while you expect a place like this to be overpriced, the prices really were over the top for what you get, and the service was below average.",-1.0,1.0
2385,Amenities were just beyond your reach!,0.0,1.0
2390,"Stayed at the inconic Marina Bay Sands during a short stop over in Singapore, in an executive room with a view of the harbour.",0.0,-1.0
2412,We arrived at 9 AM and our requested room type (Grand Club) was not ready but we were given a pass to use the pool area and were told that we would get an email when the room was ready.,0.0,-1.0
2413,No problem because we were heading off to meet up with friends to explore the city so we checked our luggage.,0.0,-1.0
2414,"When we were arrived back, we were told that we had been upgraded to a 52nd floor Orchid Suite with a garden view.",1.0,0.0
2416,There were multiple universal plug outlets and USB ports for charging.,1.0,0.0
2421,You can walk everywhere from here as well !!!,0.0,1.0
2422,Of course Singapore are very safe and clean country!!,0.0,1.0
2423,It was a small dream or a big wish to stay in MBS..,0.0,1.0
2426,"Well, this beautiful hotel was all that I wanted on this trip....",0.0,1.0
2427,"Coming to the hotel, the check in was smooth & quick...",1.0,0.0
2429,The staff helped me to the room...,1.0,0.0
2430,"To my surprise, I was given a written apology for a delay of may be 4-5 mins in sending my luggage.",1.0,0.0
2431,The room was lavish & the view was spectacular.,1.0,0.0
2433,Well connected & the elevator to the infinity pool is in the same tower.,0.0,1.0
2444,but they were so small they’re not worth a mention.,0.0,-1.0
2447,We ate there a few times and the food was exceptional.,1.0,0.0
2448,"The pool is busy but is something you MUST do, even if it’s just to take a photo.",1.0,0.0
2458,Views were amazing.,0.0,1.0
2465,"You have free excess to the observation deck on top of the hotel, otherwise you have to pay more than 20 dollars to get there.",0.0,1.0
2467,"It is kind of pricey, but well worth it.",0.0,1.0
2472,Checkin was smooth.,1.0,0.0
2482,Large bathtub and shower.,1.0,0.0
2483,The staff makes this 5 stars experience.,1.0,0.0
2486,"The location is very good, you can do everything by foot or by bike.",0.0,1.0
2498,It is like a scene from Avatar.,0.0,1.0
2499,"The hotel lobby is crowded and everything is so huge, it's not a hotel you want to stay for more than a few days I guess.",0.0,1.0
2500,"But for a couple of days it's great, especially the Skypark with the rooftop swimmingpool, the restaurants and bars.",0.0,1.0
2502,After travelling for a month and staying in hostels I decided to treat myself to two nights at the Marina Bay.,0.0,1.0
2506,"  I ordered room service on the first night, which was very tasty!",1.0,0.0
2515,"However, although the view at the top was great, i am never satisfied with my infinity pool experience.",-1.0,1.0
2518,😱 You can't really relax anymore.,0.0,-1.0
2519,It is too crowded for me.,-1.0,0.0
2524,From the 40 floor we had an incredible view of the Garden by the Bay especially in the night when everything is lighted.,1.0,0.0
2527,A very big breakfast variety at Rise Restaurant.,1.0,0.0
2534,Infinity pool is moderately crowded (it's not a canned sardine experience like some people say it is),-1.0,1.0
2540,We spent all day by the pool (1pm - 8pm) and even had dinner there - the views are incredible.,1.0,0.0
2556,Clearly the building is a Singapore landmark.,0.0,1.0
2561,Furthermore the building is so big that it lacks a personal touch.,-1.0,0.0
2562,Cool experience though I will not come back,-1.0,1.0
2569,Afternoon tea was provided from 2-4 and complimentary drinks(including alcoholic beverages) and canopies from 5-7pm.,0.0,1.0
2576,Glad however it was on expenses as the on site bars and restaurants are eye watering expensive - at least when paying in GBP.,0.0,1.0
2579,However itâ€™s a matter of personal choice and it was certainly an experience staying here.,0.0,1.0
2590,A couple of negatives: Service did not meet expectations of a 5-star premium hotel such as a 10% service charge on all food and drinks.,-1.0,0.0
2597,"Our view over the bay, track and gardens was unreal ...",1.0,0.0
2631,"The rooftop infinity pool is spectacular with many lounge chairs, although few by the pool",1.0,0.0
2644,We asked in the Hotel at the Concierge desk for a Electronic scooter and they did not make an effort to help us or to find a help for our friend.,-1.0,1.0
2652,Check-in was fluid as we arrived earlier.,1.0,0.0
2667,It's too expensive but the rooms are dated.,-1.0,0.0
2668,Housekeeping/room service boys just barge in your room without knocking and they did not even say sorry.,-1.0,1.0
2680,"Apart from that, if you can, stay one night at one of the highest floors, you wonâ€™t forget it.",1.0,-1.0
2704,"The rooms are fine, although nothing special.",0.0,-1.0
2718,Take a lift to the top and have panoramic views of Singapore from very high up.,0.0,1.0
2719,Bar/restaurant at the top.,0.0,1.0
2724,To get to the gym or pool we had to go down across the lobby and then back up a different elevator..not great design.,-1.0,1.0
2743,"Upon arrival, check-in was quick and effortless.",1.0,0.0
2772,Happy to report that there was no smoke smell in the lobby which is often a problem with hotels attached to casinos.,1.0,-1.0
2773,"I never went in the casino, so I am not sure they even permit smoking in the casino.",0.0,-1.0
2777,Excellent facilities and amenities but soulless in service and atmosphere.,-1.0,1.0
2791,"The hotel itself is fairly standard, nothing particularly outstanding besides the rooftop infinity pool.",0.0,-1.0
2792,"From the outset, there were mixed feelings about the whole experience, the bell boys on arrival are so rushed and over worked that we had to drag our bags to to check in after 16 hours of flying and arriving into 35 degree soaring heat, the check in experience itself is hectic and feels like you are at an airport and results in reaching the counter and the usual form filling (I don't know why in this day and age we still do this, why can this not be done in advance - especially at a 'top hotel').",-1.0,1.0
2813,If youâ€™d like to share a pool with a billion other selfie taking people this is your spot.,0.0,1.0
2818,Check in is like checking into a budget airline.,-1.0,1.0
2819,Rooms are hugely outdated and the general feel of the place is pretty chaotic and underwhelming for the enormous price tag.,-1.0,0.0
2820,We stayed at a night at Marina Bay Hotel to gain access to infinity pool because otherwise you can't reach.,0.0,1.0
2828,"After much discussion, lasting half an hour, we were eventually allocated an upgraded room with a view of the park and harbour.",1.0,0.0
2833,We had been here to enjoy Sky bar on rooftop.,0.0,1.0
2841,Walking distance to so many attractions and restaurants.,0.0,1.0
2852,Stood waiting for acknowledgement but the young lass was to busy texting.,-1.0,0.0
2855,As mentioned previously it appears now the current generation of young workers are more interested in their status than their jobs.,0.0,1.0
2899,"Food is spectacular, even if you eat at food court, which I did a lot.",1.0,0.0
